Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-28 18:00:00,29659.166666666668,25490.507478364154,30077.31837385384,29492.98388346803
2021-12-28 19:00:00,29076.083333333332,25490.507478375326,29651.004118730623,29055.480318567883
2021-12-28 20:00:00,28391.416666666668,25490.507478420895,29059.629377915415,28479.81509040177
2021-12-28 21:00:00,27388.083333333332,25490.507478490646,28112.671996302455,27528.817820780194
2021-12-28 22:00:00,25798.5,25490.507478573625,26486.17467513891,25909.705809090294
2021-12-28 23:00:00,24094.166666666668,25490.507478659358,24756.614241312232,24180.630109330268
2021-12-29 00:00:00,22827.416666666668,25490.507478738822,23544.65273714213,22970.786506692697
2021-12-29 01:00:00,21943.666666666668,25490.507478805102,22707.058139375855,22123.581657069266
2021-12-29 02:00:00,21392.583333333332,25490.507478853746,22209.353711700758,21621.75933811708
2021-12-29 03:00:00,21204.666666666668,25490.50747888279,22055.8497753187,21479.978291948486
2021-12-29 04:00:00,21550.5,25490.50747889256,22474.3940922448,21891.97155382898
2021-12-29 05:00:00,22614.833333333332,25490.507478885247,23727.874061707753,23153.590608471815
2021-12-29 06:00:00,24256.166666666668,25490.507478864398,25847.88662232702,25302.90653675129
2021-12-29 07:00:00,25341.083333333332,25490.507478834323,27196.38139846335,26685.03393989592
2021-12-29 08:00:00,25753.416666666668,25490.507478799547,26935.69190305668,26489.102689394127
2021-12-29 09:00:00,25783.0,25490.50747876432,26155.1781393465,25700.52176929301
2021-12-29 10:00:00,25528.416666666668,25490.50747873224,25266.620735044333,24760.83261821074
2021-12-29 11:00:00,25702.0,25490.507478705993,24581.84830981715,24113.867344548587
2021-12-29 12:00:00,26151.583333333332,25490.507478687246,24278.691718030364,23814.788681155813
2021-12-29 13:00:00,26495.916666666668,25490.507478676638,24427.667570302216,23994.391470452472
2021-12-29 14:00:00,26728.916666666668,25490.507478673888,24978.877547891083,24565.340947171666
2021-12-29 15:00:00,27094.333333333332,25490.50747867798,26019.85726690125,25519.588316719473
2021-12-29 16:00:00,28062.833333333332,25490.507478687377,27744.841796682045,27058.007085397163
2021-12-29 17:00:00,29758.25,25490.507478700267,29951.140232430706,29211.311384017186
2021-12-29 18:00:00,29739.166666666668,25490.507478714786,30095.71246666651,29337.597515817684
2021-12-29 19:00:00,29051.75,25490.507478729214,29669.398211543295,28876.986615957216
2021-12-29 20:00:00,28269.0,25490.507478742125,29078.023470728087,28272.58565829347
2021-12-29 21:00:00,27235.666666666668,25490.50747875248,28131.066089115127,27277.150902356312
2021-12-29 22:00:00,25628.833333333332,25490.50747875966,26504.568767951583,25617.78201880358
2021-12-29 23:00:00,23854.916666666668,25490.507478763473,24775.008334124905,23878.46667630507
2021-12-30 00:00:00,22534.083333333332,25490.50747876409,23563.0468299548,22673.357485864668
2021-12-30 01:00:00,21638.083333333332,25490.507478761978,22725.452232188527,21833.447829807694
2021-12-30 02:00:00,21045.5,25490.507478757794,22227.74780451343,21337.487793451393
2021-12-30 03:00:00,20852.583333333332,25490.5074787523,22074.243868131372,21189.577092603613
2021-12-30 04:00:00,21195.333333333332,25490.507478746258,22492.78818505747,21611.55858818634
2021-12-30 05:00:00,22168.5,25490.507478740365,23746.268154520425,22882.52099497951
2021-12-30 06:00:00,23775.5,25490.507478735184,25866.280715139692,25048.792125901986
2021-12-30 07:00:00,24917.083333333332,25490.507478731117,27214.77549127602,26490.88328352495
2021-12-30 08:00:00,25353.25,25490.507478728385,26954.08599586935,26375.287725235736
2021-12-30 09:00:00,24953.5,25490.507478727042,26173.57223215917,25581.725134123943
2021-12-30 10:00:00,24319.833333333332,25490.507478726995,25285.014827857005,24608.407977719868
2021-12-30 11:00:00,23859.5,25490.507478728035,24600.24240262982,23872.769521480644
2021-12-30 12:00:00,23535.5,25490.50747872988,24297.085810843037,23556.553631180173
2021-12-30 13:00:00,23526.5,25490.507478732212,24446.061663114888,23706.891887493024
2021-12-30 14:00:00,23826.583333333332,25490.50747873472,24997.271640703755,24219.48539005718
2021-12-30 15:00:00,24596.416666666668,25490.50747873712,26038.251359713922,25185.66464432085
2021-12-30 16:00:00,26216.666666666668,25490.507478739193,27763.235889494717,26732.070451119824
2021-12-30 17:00:00,28343.666666666668,25490.507478740783,29969.534325243378,28915.998593542176
2021-12-30 18:00:00,28493.25,25490.507478741813,30114.106559479183,29060.765764320095
2021-12-30 19:00:00,27994.083333333332,25490.50747874227,29687.792304355968,28644.90685909435
2021-12-30 20:00:00,27371.166666666668,25490.507478742205,29096.41756354076,28085.859031948454
2021-12-30 21:00:00,26466.833333333332,25490.50747874171,28149.4601819278,27148.289502896136
2021-12-30 22:00:00,25035.083333333332,25490.507478740907,26522.962860764255,25536.707366438295
2021-12-30 23:00:00,23414.583333333332,25490.50747873992,24793.402426937577,23825.869915384435
2021-12-31 00:00:00,22189.75,25490.507478738884,23581.440922767473,22625.587154004097
2021-12-31 01:00:00,21267.833333333332,25490.50747873791,22743.8463250012,21766.44885332215
2021-12-31 02:00:00,20652.166666666668,25490.507478737083,22246.141897326102,21232.32528085424
